id_pais;pais;capital;sigla;id_continente;id_puntaje;id_idioma;id_gobierno;id_moneda;id_region;id_poblacion;id_educacion;id_trabajo;id_ipc;id_pbi;id_sociedad
NULL;SENEGAL;DAKAR;SEN;1;111;31;14;72;8;111;111;111;111;111;111
NULL;SERBIA;BELGRADO;SRB;4;112;76;12;30;2;112;112;112;112;112;112
NULL;SIERRA LEONA;FREETOWN;SLE;1;113;45;13;89;8;113;113;113;113;113;113
NULL;SINGAPUR;CIUDAD DE SINGAPUR;SGP;3;114;59;12;52;9;114;114;114;114;114;114
NULL;SRI LANKA;KOTTE;LKA;3;115;79;14;138;1;115;115;115;115;115;115
NULL;SUDAFRICA;PRETORIA;ZAF;1;116;45;12;121;8;116;116;116;116;116;116
NULL;SUECIA;ESTOCOLMO;SWE;4;117;81;7;21;3;117;117;117;117;117;117
NULL;SUIZA;BERNA;CHE;4;118;34;12;74;3;118;118;118;118;118;118
NULL;TAILANDIA;BANGKOK;THA;3;119;83;5;3;9;119;119;119;119;119;119
NULL;TANZANIA;DODOMA;TZA;1;120;8;13;12;8;120;120;120;120;120;120
NULL;TAYIKISTAN;DUSAMBE;TJK;3;121;84;13;142;6;121;121;121;121;121;121
NULL;TOGO;LOME;TGO;1;122;31;13;72;8;122;122;122;122;122;122
NULL;TUNEZ;CIUDAD DE TUNEZ;TUN;1;123;5;14;31;4;123;123;123;123;123;123
NULL;TURQUIA;ANKARA;TUR;3;124;85;13;101;4;124;124;124;124;124;124
NULL;UCRANIA;KIEV;UKR;4;125;87;14;77;6;125;125;125;125;125;125
NULL;UGANDA;KAMPALA;UGA;1;126;45;13;13;8;126;126;126;126;126;126
NULL;URUGUAY;MONTEVIDEO;URY;2;127;25;13;118;5;127;127;127;127;127;127
NULL;UZBEKISTAN;TASKENT;UZB;3;128;89;13;141;6;128;128;128;128;128;128
NULL;VENEZUELA;CARACAS;VEN;2;129;25;13;5;5;129;129;129;129;129;129
NULL;VIETNAM;HANOI;VNM;3;130;90;3;54;9;130;130;130;130;130;130
NULL;ZAMBIA;LUSAKA;ZMB;1;131;45;13;83;8;131;131;131;131;131;131
NULL;ZIMBABUE;HARARE;ZWE;1;132;45;13;35;8;132;132;132;132;132;132
